dataset,model,adapter,label_budget,mean_iou_mean,mean_iou_std,mean_iou_min,mean_iou_max,foreground_iou_mean,foreground_iou_std,foreground_iou_min,foreground_iou_max,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_min,pixel_accuracy_max,train_seconds_mean,train_seconds_std,train_seconds_min,train_seconds_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max,peak_accelerator_memory_gb_mean,peak_accelerator_memory_gb_std,peak_accelerator_memory_gb_min,peak_accelerator_memory_gb_max,total_trainable_params_mean,total_trainable_params_std,total_trainable_params_min,total_trainable_params_max,num_train_examples_mean,num_train_examples_std,num_train_examples_min,num_train_examples_max,size
ftw_africa,prithvi_eo_v2_300m,linear_probe,0.05,0.402271265787511,0.0783634583143914,0.327359929496198,0.48368202886286504,0.22633697592550403,0.1027519407486408,0.11178337852591501,0.31037319015930903,0.7954222313925566,0.05837189878589446,0.7517139668367341,0.8617113642331931,11.732482174666075,0.4243764825287913,11.431889213999966,12.217932802999712,64.86917879599969,1.9933373698975998,63.64786511300008,67.16941799300002,1.359823067982991,0.0005726282882279796,1.359161853790283,1.360153675079345,12291.0,0.0,12291,12291,40.0,0.0,40,40,3
ftw_africa,prithvi_eo_v2_300m,linear_probe,0.1,0.48785073531704537,0.01760054412847319,0.474924594982263,0.5078956067512961,0.3201506735092477,0.012719516062643422,0.309993281564926,0.33441667760375404,0.8595241221488591,0.01970318299327677,0.8458771008403361,0.882112610669267,24.832670432666685,2.7958046615667977,22.999787739,28.050617695000028,80.43534846766666,12.785188223504283,73.05096743600006,95.19841182599998,1.359823067982991,0.0005726282882279796,1.359161853790283,1.360153675079345,12291.0,0.0,12291,12291,80.0,0.0,80,80,3
ftw_africa,prithvi_eo_v2_300m,linear_probe,0.25,0.5205572194932954,0.00025858895231537356,0.5202958075103861,0.5208128897902661,0.3461651595126877,0.0005213389831310647,0.345605516954187,0.34663706017752705,0.8933147477741095,0.0008970775299633765,0.8922965279861941,0.8939886892256901,58.07773963433336,0.3852289273080882,57.84687407500007,58.52245518999996,107.38238969600002,1.6884170725610421,105.719772519,109.09547507200011,1.360153675079345,0.0,1.360153675079345,1.360153675079345,12291.0,0.0,12291,12291,199.0,0.0,199,199,3
ftw_africa,prithvi_eo_v2_300m,linear_probe,1.0,0.5266878818521247,0.006280375871782518,0.520650587591128,0.533185958475438,0.35028639568855935,0.008109119253461724,0.342808178679591,0.358905567496111,0.9005975827831131,0.0028071874320788016,0.8975690276110441,0.9031124559198681,204.632766189,2.4542584537926073,203.11883160699995,207.46443493300012,252.65224065666658,3.0156871102046012,250.48954205299992,256.0971507909999,1.360153675079345,0.0,1.360153675079345,1.360153675079345,12291.0,0.0,12291,12291,796.0,0.0,796,796,3
ftw_africa,prithvi_eo_v2_300m,lora,0.05,0.4033683252602717,0.08975055184872358,0.300224226888734,0.46366578477979203,0.21921909548650167,0.12253917547634163,0.07782072542419101,0.294470778097341,0.8040998039840931,0.04369090510269293,0.755487741971788,0.8400911145708281,17.227985885999562,0.1586903967042361,17.04595411399896,17.33719428400036,71.74550985133344,1.9910518978255671,70.14362307800002,73.97465376100081,4.123501300811768,0.0005748307047214215,4.122837543487549,4.123833179473877,3702787.0,0.0,3702787,3702787,40.0,0.0,40,40,3
ftw_africa,prithvi_eo_v2_300m,lora,0.1,0.4486236563863533,0.0912207601971494,0.34356861188839505,0.507769736642545,0.29171700158241703,0.05782700773834485,0.226170953101054,0.33552404006677705,0.8142448776385551,0.11419020565246364,0.6823898700105041,0.8804818802521001,35.03023122733331,0.8064465306185874,34.52332015999991,35.96017540399998,88.39426430799995,3.263163880083023,86.36351575799995,92.15832622499988,4.123501300811768,0.0005748307047214215,4.122837543487549,4.123833179473877,3702787.0,0.0,3702787,3702787,80.0,0.0,80,80,3
ftw_africa,prithvi_eo_v2_300m,lora,0.25,0.5068798820752137,0.02933588780640828,0.47303143870324404,0.524947114855239,0.33347547141879036,0.02573071724750955,0.30376455816233905,0.348457558106656,0.8808639471413565,0.028324059362940496,0.8482765371773711,0.8995655293367341,83.14291164933336,2.468990489571397,81.12171295400003,85.89476942500005,134.48354244733324,3.143790885417864,132.06288969699972,138.03667724999968,4.123833179473877,0.0,4.123833179473877,4.123833179473877,3702787.0,0.0,3702787,3702787,199.0,0.0,199,199,3
ftw_africa,prithvi_eo_v2_300m,lora,1.0,0.49592570381353,0.013667656696502075,0.484297575789262,0.510980699519052,0.31917761808037437,0.013203593133034054,0.31034558028824405,0.33435612753167304,0.8757683542166864,0.014211263446680297,0.8600469875450181,0.8877019948604441,307.1739097490001,0.899728391641609,306.3236021990001,308.1160199840001,359.3312510353332,3.2682971606782343,357.43864351599996,363.10514987099987,4.123833179473877,0.0,4.123833179473877,4.123833179473877,3702787.0,0.0,3702787,3702787,796.0,0.0,796,796,3
ftw_africa,terramind_v1_base,linear_probe,0.05,0.4277603985818607,0.0505558811620231,0.369447611377815,0.459285601260269,0.2631097719055577,0.022528755950470755,0.237405791221512,0.27942930855895504,0.8045332976940771,0.07371927059359178,0.7194140156062421,0.8478424182172861,9.75374040133344,0.23229768706790335,9.512291852000999,9.975653429999511,51.293798780333724,2.6285370999726148,49.52095374400051,54.31375654400108,0.574881076812744,0.18832890963435572,0.357417583465576,0.683612823486328,2307.0,0.0,2307,2307,40.0,0.0,40,40,3
ftw_africa,terramind_v1_base,linear_probe,0.1,0.4097950402316,0.01933565453908114,0.39271872535622504,0.430789807929004,0.25983273052126304,0.010777974490486588,0.25017100834568,0.271457197247371,0.7733439078756498,0.025578026854359785,0.75083494335234,0.801158744747899,19.930676891333405,0.17703155329906375,19.735014438000235,20.07976554800007,61.22812085666677,3.4686739961868986,58.955659149999974,65.22068461000026,0.574881076812744,0.18832890963435572,0.357417583465576,0.683612823486328,2307.0,0.0,2307,2307,80.0,0.0,80,80,3
ftw_africa,terramind_v1_base,linear_probe,0.25,0.44868801871837705,0.01657997226558468,0.438727442771261,0.46782760312321503,0.271874759421958,0.019594679286972085,0.250563964474461,0.28911339093291,0.8356485953756497,0.020797205197567087,0.8130154796293511,0.853917152798619,48.53793982166659,0.48078622981633196,48.10311353799989,49.05426762700017,83.65262067066669,0.3716927152770643,83.22763056299982,83.91701014499995,0.683612823486328,0.0,0.683612823486328,0.683612823486328,2307.0,0.0,2307,2307,199.0,0.0,199,199,3
ftw_africa,terramind_v1_base,linear_probe,1.0,0.4619584682526347,0.0016537775691760272,0.46004905640338006,0.462937464931763,0.29203442513580735,0.0008916161402634025,0.291012356585223,0.292652749904658,0.839206620148059,0.002219141833905967,0.8366452440351141,0.8405513768007201,164.19638996100016,3.601595038138093,161.5993240130001,168.3079147880003,199.3299828759999,3.4491290740050147,196.66395949399976,203.22536278100006,0.683612823486328,0.0,0.683612823486328,0.683612823486328,2307.0,0.0,2307,2307,796.0,0.0,796,796,3
ftw_africa,terramind_v1_base,lora,0.05,0.372271348551789,0.06463116309303767,0.308492533608828,0.437722405507651,0.2401284491768597,0.033646972116232944,0.20745983156123102,0.27467511093269903,0.7213462728841534,0.08930821057006524,0.632288227791116,0.8109025641506601,11.444913667332608,0.6789993413433716,10.66499585299971,11.904415781998978,53.334383954999794,1.0482498863703027,52.12447094900017,53.96951847499986,0.9982767105102531,0.0,0.9982767105102531,0.9982767105102531,1003779.0,0.0,1003779,1003779,40.0,0.0,40,40,3
ftw_africa,terramind_v1_base,lora,0.1,0.41751100073475067,0.05972469957455394,0.34931714562507105,0.46050951990181005,0.2568000515829527,0.028573987803878466,0.22820473979642603,0.28535266755647204,0.7916378270058021,0.08731972120446468,0.690823595063025,0.843494663490396,23.21570151033302,0.6897478910808387,22.551290529999278,23.92826300500019,63.707351537333125,0.9349904418658218,62.6493676099999,64.4226487169999,0.9982767105102531,0.0,0.9982767105102531,0.9982767105102531,1003779.0,0.0,1003779,1003779,80.0,0.0,80,80,3
